2026-06-25 13:50:49.980153 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/BootOptions/4
2026-06-25 13:50:49.980554 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/BootOptions/5
2026-06-25 13:50:50.083081 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/BootOptions/5
2026-06-25 13:50:50.083586 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/BootOptions/6
2026-06-25 13:50:50.200235 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/BootOptions/6
2026-06-25 13:50:50.201518 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/BootOptions/7
2026-06-25 13:50:50.284202 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/BootOptions/7
2026-06-25 13:50:50.284617 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/EthernetInterfaces/141
2026-06-25 13:50:50.359672 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/EthernetInterfaces/141
2026-06-25 13:50:50.360150 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/EthernetInterfaces/142
2026-06-25 13:50:50.452648 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/EthernetInterfaces/142
2026-06-25 13:50:50.453130 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/LogServices/SL
2026-06-25 13:50:50.529287 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/LogServices/SL
2026-06-25 13:50:50.530230 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/LogServices/Event
2026-06-25 13:50:50.606564 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/LogServices/Event
2026-06-25 13:50:50.607971 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory/proc1dimm1
2026-06-25 13:50:50.683477 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Memory/proc1dimm1
2026-06-25 13:50:50.684027 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory/proc1dimm2
2026-06-25 13:50:50.862153 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Memory/proc1dimm2
2026-06-25 13:50:50.862942 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory/proc1dimm3
2026-06-25 13:50:50.947919 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Memory/proc1dimm3
2026-06-25 13:50:50.948387 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory/proc1dimm4
2026-06-25 13:50:50.960551 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Memory/proc1dimm4
2026-06-25 13:50:50.961078 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory/proc1dimm5
2026-06-25 13:50:50.973583 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Memory/proc1dimm5
2026-06-25 13:50:50.974092 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory/proc1dimm6
